adj,noun,article,group
pink,bow,a,1
springy,tail,a,2
buttered,dough,NA,3
hot,door,a,4
silver,ship,a,5
purple,ladybug,a,6
silver,line,a,7
wet,rag,a,8
hot,cake,a,9
hot,noodle,a,10
orange,snack,a,11
orange,sticker,a,12
brown,color,a,13
naked,girl,a,14
green,grasshopper,a,15
flat,cardboard,NA,16
yellow,puppy,a,17
moist,skin,NA,18
dead,person,a,19
brown,rock,a,20
red,picture,a,1
evergreen,tree,a,2
naked,butt,a,3
blonde,hair,a,4
dark,cloud,a,5
orange,boy,a,6
bright,hair,a,7
bottom,stair,a,8
red,crab,a,9
wet,girl,a,10
sweet,baby,a,11
pink,tongue,a,12
red,ground,NA,13
yellow,curtain,a,14
giant,stick,a,15
dirty,slipper,a,16
yellow,key,a,17
fat,food,NA,18
hot,aspen,an,19
back,door,a,20
yellow,dragon,a,1
yellow,curve,a,2
grey,bridge,a,3
red,arrow,an,4
bright,shirt,a,5
green,roof,a,6
wet,snow,NA,7
bright,star,a,8
purple,bin,a,9
purple,salad,a,10
pink,basement,a,11
fat,leg,a,12
fuzzy,fur,NA,13
green,track,a,14
wet,towel,a,15
red,hand,a,16
orange,nose,a,17
plastic,garbage,NA,18
green,helmet,a,19
yellow,ticket,a,20
bright,fire,a,1
bright,light,a,2
yellow,giraffe,a,3
green,laundry,NA,4
green,grass,NA,5
dirty,penny,a,6
top,bunk,a,7
yellow,paper,a,8
green,orange,an,9
upstairs,food,NA,10
solid,baby,a,11
hot,wing,a,12
green,banana,a,13
orange,tail,a,14
pink,balloon,a,15
thick,brick,a,16
wet,tissue,a,17
wooden,arm,an,18
yellow,lip,a,19
bright,punch,a,20
red,sunset,a,1
red,hole,a,2
purple,wheel,a,3
purple,octopus,an,4
solid,food,NA,5
brown,clump,a,6
slippery,slipper,a,7
dark,cow,a,8
dark,barn,a,9
wet,sock,a,10
yellow,duckling,a,11
pink,crayon,a,12
dark,owl,an,13
orange,balloon,a,14
solid,smack,a,15
green,knife,a,16
bright,card,a,17
wooden,stool,a,18
yellow,flag,a,19
plastic,tunnel,a,20
thick,whisker,a,1
red,closet,a,2
yellow,flower,a,3
green,tree,a,4
green,puzzle,a,5
pink,purple,a,6
bronze,sword,a,7
green,pepper,a,8
hot,bottle,a,9
red,cat,a,10
green,bubble,a,11
red,spot,a,12
muddy,bottom,a,13
red,ball,a,14
orange,apple,an,15
grey,garbage,NA,16
yellow,goldfish,a,17
red,tail,a,18
orange,mango,a,19
hot,waffle,a,20
plastic,air,NA,1
yellow,grass,NA,2
green,belt,a,3
yellow,bunny,a,4
yellow,outfit,an,5
pink,bird,a,6
red,dinosaur,a,7
male,alligator,an,8
rainy,season,a,9
